"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.693330745E2,6.495658981E1,2.552971274E1,7.214582931E0,1.521895430E0,3.524983176E2,4.724277426E0,3.392011179E0
1.703331096E2,6.495660213E1,2.552971117E1,7.350618145E0,1.512706444E0,3.589626879E2,4.724233304E0,3.392072630E0
1.713331436E2,6.495661438E1,2.552970338E1,7.934084859E0,1.492772598E0,2.058292513E0,4.722581738E0,3.394371630E0
1.723331755E2,6.495662749E1,2.552969621E1,8.387459269E0,1.509497100E0,3.235303275E0,4.721498612E0,3.395878074E0
1.733332072E2,6.495663965E1,2.552967804E1,8.090409893E0,1.503003015E0,3.570177022E2,4.723466170E0,3.393140783E0
1.743332372E2,6.495665176E1,2.552966191E1,8.258933397E0,1.494182762E0,3.538002195E2,4.725019741E0,3.390977069E0
1.753332651E2,6.495666385E1,2.552964102E1,8.162945915E0,1.523598566E0,3.464148777E2,4.726168834E0,3.389375338E0
1.763332919E2,6.495667598E1,2.552962594E1,8.047427251E0,1.536726600E0,3.458808752E2,4.727025555E0,3.388180402E0
1.773333185E2,6.495668852E1,2.552961153E1,8.091068836E0,1.537156639E0,3.461256097E2,4.726609892E0,3.388760239E0
1.783333437E2,6.495670135E1,2.552960261E1,8.038895739E0,1.537454378E0,3.487591683E2,4.727255561E0,3.387859485E0
1.793333678E2,6.495671244E1,2.552959237E1,7.399223962E0,1.459677890E0,3.491848731E2,4.728682226E0,3.385867901E0
1.803333915E2,6.495672126E1,2.552957801E1,6.956902408E0,1.392824525E0,3.445113646E2,4.731632581E0,3.381743656E0
1.813334140E2,6.495672864E1,2.552953776E1,5.864697983E0,1.486747437E0,3.198261617E2,4.736235345E0,3.375294326E0
1.823334361E2,6.495673661E1,2.552953114E1,5.398133320E0,1.349545214E0,3.227078709E2,4.735959428E0,3.375681461E0
1.833334571E2,6.495674959E1,2.552951577E1,5.811776064E0,1.470625338E0,3.307579827E2,4.733115095E0,3.379668405E0
1.843334767E2,6.495676034E1,2.552950177E1,6.325475267E0,1.482033801E0,3.346348463E2,4.729433126E0,3.384818952E0
1.853334962E2,6.495676752E1,2.552949437E1,6.882104089E0,1.149703101E0,3.394782317E2,4.729478770E0,3.384755175E0
1.863335162E2,6.495676938E1,2.552949889E1,6.829713508E0,6.304001124E-1,3.582500739E2,4.728188948E0,3.386556704E0
1.873335354E2,6.495677531E1,2.552948561E1,7.072302937E0,6.172086719E-1,3.464417970E2,4.727477990E0,3.387549098E0
1.883335522E2,6.495678622E1,2.552946920E1,6.220345995E0,8.829137040E-1,3.443058975E2,4.729674496E0,3.384481672E0
1.893335708E2,6.495680009E1,2.552945933E1,5.202467597E0,1.170664477E0,3.471757929E2,4.731588666E0,3.381805100E0
1.903335882E2,6.495681073E1,2.552944647E1,5.952085818E0,1.388380887E0,3.454852618E2,4.732843429E0,3.380048832E0
1.913336046E2,6.495681365E1,2.552942773E1,7.408847710E0,8.567341730E-1,3.281903416E2,4.734853384E0,3.377232664E0
